CMPLNT_FR_DT	CMPLNT_FR_TM	PD_DESC	LAW_CAT_CD	BORO_NM	ADDR_PCT_CD	PREM_TYP_DESC	Latitude	Longitude
12/28/16	3:05:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	QUEENS	111	STREET	40.76433627	-73.77094711
12/28/16	3:00:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	STATEN ISLAND	122	STREET	40.57616668	-74.11911054
12/28/16	3:00:00	ASSAULT 3	MISDEMEANOR	BRONX	42	OTHER	40.82229849	-73.91169413
12/28/16	3:00:00	"MISCHIEF, CRIMINAL 3 & 2, OF M"	FELONY	BRONX	49	HOTEL/MOTEL	40.86946703	-73.85753419
12/28/16	3:00:00	"LARCENY,PETIT FROM OPEN AREAS,"	MISDEMEANOR	MANHATTAN	14	STREET	40.75032662	-73.99111205
12/28/16	3:00:00	"LARCENY,PETIT OF VEHICLE ACCES"	MISDEMEANOR	QUEENS	105	RESIDENCE-HOUSE	40.69723626	-73.73093835
12/28/16	3:00:00	RAPE 1	FELONY	STATEN ISLAND	120	RESIDENCE - APT. HOUSE
12/28/16	3:00:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BRONX	41	RESIDENCE - APT. HOUSE	40.8148472	-73.89908132
12/28/16	3:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BROOKLYN	70	RESIDENCE - APT. HOUSE	40.63410027	-73.95797371
12/28/16	2:45:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	QUEENS	105	STREET	40.6543048	-73.72966989
12/28/16	2:35:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	50	STREET	40.89660302	-73.89833143
12/28/16	2:35:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	BROOKLYN	60	STREET	40.57917975	-73.95827106
12/28/16	2:35:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	BROOKLYN	60	RESIDENCE-HOUSE	40.57961922	-73.95909878
12/28/16	2:30:00	ASSAULT 3	MISDEMEANOR	BRONX	42	RESIDENCE - APT. HOUSE	40.83398825	-73.88660303
12/28/16	2:30:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	QUEENS	114	STREET	40.75898287	-73.91900098
12/28/16	2:30:00	AGGRAVATED HARASSMENT 2	MISDEMEANOR	QUEENS	103	RESIDENCE-HOUSE	40.71109541	-73.7572104
12/28/16	2:30:00	AGGRAVATED HARASSMENT 2	MISDEMEANOR	BROOKLYN	60	RESIDENCE - APT. HOUSE	40.5791148	-73.98361818
12/28/16	2:30:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	BRONX	52	STREET	40.86333845	-73.89646979
12/28/16	2:25:00	"MENACING,UNCLASSIFIED"	MISDEMEANOR	QUEENS	114	BAR/NIGHT CLUB	40.77560654	-73.90993994
12/28/16	2:20:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	10	RESTAURANT/DINER	40.7416892	-74.00298585
12/28/16	2:20:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	MANHATTAN	34	STREET	40.86369818	-73.91706577
12/28/16	2:20:00	"IMPERSONATION 2, PUBLIC SERVAN"	MISDEMEANOR	BROOKLYN	73	STREET	40.67867051	-73.90722987
12/28/16	2:15:00	"TRESPASS 2, CRIMINAL"	MISDEMEANOR	QUEENS	110	RESIDENCE-HOUSE	40.73825536	-73.85540785
12/28/16	2:15:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	MANHATTAN	28	RESIDENCE - APT. HOUSE	40.80708541	-73.94383088
12/28/16	2:15:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	MANHATTAN	24	RESTAURANT/DINER	40.80088659	-73.96076157
12/28/16	1:20:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BROOKLYN	71	RESIDENCE - APT. HOUSE	40.66726596	-73.95213846
12/28/16	2:15:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	BROOKLYN	60	RESIDENCE - PUBLIC HOUSING	40.59122762	-73.98370522
12/28/16	2:15:00	OBSTR BREATH/CIRCUL	MISDEMEANOR	QUEENS	114	RESIDENCE - APT. HOUSE	40.76778667	-73.92949573
12/28/16	2:00:00	STRANGULATION 1ST	FELONY	QUEENS	103	RESIDENCE - APT. HOUSE	40.70725379	-73.75512159
12/28/16	2:00:00	"INTOXICATED DRIVING,ALCOHOL"	MISDEMEANOR	MANHATTAN	5	STREET	40.70920771	-73.9960843
12/28/16	2:00:00	"MISCHIEF,CRIMINAL,    UNCL 2ND"	FELONY	QUEENS	109	SMALL MERCHANT	40.75419947	-73.83296252
12/28/16	2:00:00	"LARCENY,PETIT OF BICYCLE"	MISDEMEANOR	QUEENS	114	RESIDENCE - APT. HOUSE	40.78004135	-73.90906374
12/28/16	1:55:00	STRANGULATION 1ST	FELONY	BRONX	52	RESIDENCE - APT. HOUSE	40.86118682	-73.90635708
12/28/16	1:54:00	"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"	FELONY	QUEENS	106	STREET	40.67349577	-73.83726356
12/28/16	1:40:00	"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE"	FELONY	BRONX	45	STREET	40.84959476	-73.83445435
12/28/16	1:35:00	"ROBBERY,COMMERCIAL UNCLASSIFIED"	FELONY	MANHATTAN	5	RESTAURANT/DINER	40.71219949	-73.99565488
12/28/16	1:31:00	"ASSAULT 2,1,UNCLASSIFIED"	FELONY	BROOKLYN	66	STREET	40.64029182	-73.99433357
12/28/16	1:30:00	"ROBBERY,LICENSED MEDALLION CAB"	FELONY	BRONX	42	TAXI (LIVERY LICENSED)	40.8247167	-73.91551732
12/28/16	1:30:00	LEAVING SCENE-ACCIDENT-PERSONA	MISDEMEANOR	BROOKLYN	75	STREET	40.67564138	-73.89877282
12/28/16	1:30:00	"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES"	FELONY	QUEENS	107	STREET	40.73432289	-73.82080541
12/28/16	1:30:00	"MISCHIEF,CRIMINAL,    UNCL 2ND"	FELONY	BROOKLYN	77	COMMERCIAL BUILDING	40.67253543	-73.9578774
12/28/16	1:30:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BRONX	42	HOSPITAL	40.82617104	-73.90786974
12/28/16	1:30:00	"SEXUAL ABUSE 3,2"	MISDEMEANOR	MANHATTAN	10	STREET
12/28/16	1:30:00	"LARCENY,PETIT BY ACQUIRING LOS"	MISDEMEANOR	BRONX	48	HOSPITAL	40.85345024	-73.89153655
12/28/16	1:30:00	"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"	FELONY	BROOKLYN	70	RESIDENCE - APT. HOUSE	40.63679358	-73.95262871
12/28/16	1:20:00	"CRIMINAL MISCHIEF 4TH, GRAFFIT"	MISDEMEANOR	BROOKLYN	90	FOOD SUPERMARKET	40.70324913	-73.94427543
12/28/16	0:40:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	BRONX	44	OTHER	40.83956043	-73.91594299
12/28/16	1:15:00	"IMPERSONATION 2, PUBLIC SERVAN"	MISDEMEANOR	QUEENS	101	STREET	40.59514852	-73.75398797
12/28/16	1:13:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	32	RESIDENCE - APT. HOUSE	40.82701466	-73.9381339
12/28/16	1:13:00	ASSAULT 3	MISDEMEANOR	MANHATTAN	32	RESIDENCE - APT. HOUSE	40.82701466	-73.9381339
12/28/16	1:10:00	"MENACING,UNCLASSIFIED"	MISDEMEANOR	BROOKLYN	88	RESIDENCE - PUBLIC HOUSING	40.694142	-73.975999
12/28/16	1:05:00	"FORGERY,ETC.-MISD."	MISDEMEANOR	MANHATTAN	34	STREET	40.85021014	-73.93308803
12/28/16	1:00:00	"THEFT OF SERVICES, UNCLASSIFIE"	MISDEMEANOR	MANHATTAN	1	STREET	40.7057875	-74.00838357
12/28/16	1:00:00	"LARCENY,PETIT FROM BUILDING,UN"	MISDEMEANOR	BROOKLYN	75	RESIDENCE - APT. HOUSE	40.67323809	-73.90007067
12/28/16	1:00:00	"CRIMINAL MISCHIEF,UNCLASSIFIED 4"	MISDEMEANOR	MANHATTAN	28	RESIDENCE - APT. HOUSE	40.8002714	-73.95248349
12/28/16	1:00:00	ASSAULT 3	MISDEMEANOR	BROOKLYN	79	RESIDENCE - APT. HOUSE	40.69073831	-73.9439325
12/28/16	1:00:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	QUEENS	109	STREET	40.77568904	-73.81387736
12/28/16	1:00:00	"LARCENY,GRAND FROM RESIDENCE, UNATTENDED"	FELONY	MANHATTAN	18	RESIDENCE - APT. HOUSE	40.7677942	-73.99138769
12/28/16	0:58:00	"CONTROLLED SUBSTANCE, POSSESSI"	MISDEMEANOR	BRONX	42	RESIDENCE - PUBLIC HOUSING	40.83267599	-73.90121524
12/28/16	0:55:00	"LARCENY,PETIT FROM AUTO"	MISDEMEANOR	QUEENS	102	STREET	40.70172741	-73.83265039
12/28/16	0:51:00	"MARIJUANA, POSSESSION 4 & 5"	MISDEMEANOR	MANHATTAN	7	STREET	40.7179027	-73.98947499
12/28/16	0:50:00	"MARIJUANA, POSSESSION 4 & 5"	MISDEMEANOR	BRONX	40	STREET	40.80826995	-73.91880734
12/28/16	0:50:00	"TRESPASS 2, CRIMINAL"	MISDEMEANOR	MANHATTAN	10	TRANSIT FACILITY (OTHER)	40.75806166	-73.9995322
12/28/16	0:50:00	"HARASSMENT,SUBD 1,CIVILIAN"	VIOLATION	QUEENS	110	RESIDENCE - APT. HOUSE	40.74536655	-73.88970596
12/28/16	0:45:00	"IMPERSONATION 2, PUBLIC SERVAN"	MISDEMEANOR	MANHATTAN	28	RESIDENCE - PUBLIC HOUSING	40.79966526	-73.94719978
12/28/16	0:45:00	"HARASSMENT,SUBD 3,4,5"	VIOLATION	MANHATTAN	32	RESIDENCE - PUBLIC HOUSING	40.83294176	-73.93543259
